Age,Total_Purchase,Account_Manager,Years,Num_Sites,Churn
43.0,8583.5,1,4.39,10.0,0
39.0,11008.0,0,4.42,8.0,0
42.0,9625.89,1,5.84,9.0,0
46.0,11119.11,1,3.51,14.0,0
46.0,9982.55,1,4.75,7.0,0
39.0,11159.46,0,3.95,11.0,0
36.0,12668.26,0,4.54,12.0,0
38.0,9087.9,0,2.7,10.0,0
41.0,9091.21,0,4.55,11.0,0
44.0,8755.02,1,5.71,8.0,0
37.0,6362.93,1,6.8,7.0,0
48.0,13189.35,0,3.25,7.0,0
47.0,10584.71,0,6.05,8.0,0
49.0,9853.64,1,6.95,6.0,0
36.0,10448.09,0,4.13,8.0,0
42.0,11473.38,1,2.87,10.0,0
39.0,8986.28,0,4.36,8.0,0
33.0,13314.19,0,5.45,9.0,0
41.0,9918.77,0,4.02,10.0,0
45.0,12783.21,1,4.47,10.0,0
46.0,7026.18,0,6.3,8.0,0
48.0,9706.88,0,6.45,8.0,0
42.0,10236.95,1,5.71,8.0,0
33.0,13157.08,1,5.04,10.0,0
44.0,8588.46,1,7.77,8.0,0
48.0,7778.73,1,4.18,8.0,0
42.0,10268.0,0,5.33,6.0,0
34.0,9845.35,0,4.82,7.0,0
37.0,11912.13,0,5.67,10.0,0
33.0,12115.91,1,5.5,9.0,0
35.0,10801.37,1,5.64,11.0,0
53.0,13173.82,0,5.26,7.0,0
49.0,9940.76,0,5.72,11.0,0
46.0,12261.79,1,3.72,10.0,0
47.0,12987.28,0,5.86,10.0,0
51.0,4523.91,0,3.98,8.0,0
41.0,6172.23,0,4.28,8.0,0
49.0,6283.67,0,6.35,11.0,0
48.0,7232.06,1,4.9,6.0,0
35.0,6683.82,1,7.82,7.0,0
39.0,9408.96,1,3.83,4.0,0
47.0,8291.93,0,4.47,7.0,0
41.0,10017.82,0,6.0,8.0,0
38.0,7320.49,0,1.58,10.0,0
43.0,8817.29,0,3.19,8.0,0
36.0,8948.86,0,7.37,10.0,0
45.0,3689.95,1,5.01,11.0,0
52.0,8185.22,1,5.76,8.0,0
43.0,9347.89,1,4.17,8.0,0
42.0,12888.85,1,4.79,8.0,0
41.0,5387.41,1,4.17,8.0,0
38.0,7605.49,0,6.99,10.0,0
45.0,8480.93,0,4.57,9.0,0
29.0,11274.46,1,4.43,8.0,0
43.0,13116.73,0,3.57,9.0,0
32.0,7896.65,0,7.12,8.0,0
36.0,12086.92,1,5.52,6.0,0
42.0,10500.77,0,5.68,6.0,0
38.0,7673.0,1,7.42,7.0,0
42.0,14242.7,0,5.79,10.0,0
40.0,6590.63,1,4.52,7.0,0
37.0,15070.32,0,6.91,6.0,0
37.0,13717.41,1,6.5,7.0,0
41.0,9219.95,1,5.21,10.0,0
65.0,10430.5,0,6.5,6.0,0
45.0,5200.06,1,6.33,8.0,0
43.0,11197.42,1,3.48,9.0,0
45.0,13650.64,0,4.96,8.0,0
42.0,7351.72,0,5.26,9.0,0
33.0,10306.21,1,6.36,9.0,0
37.0,10147.22,0,6.63,8.0,0
48.0,10528.71,0,5.0,9.0,0
41.0,10054.6,1,4.93,6.0,0
45.0,8595.24,0,6.4,10.0,0
45.0,6681.61,1,5.6,8.0,0
29.0,10203.18,1,5.82,8.0,0
42.0,10427.12,0,6.64,10.0,0
39.0,10388.38,0,5.1,7.0,0
39.0,9353.38,0,4.06,7.0,0
42.0,11756.06,0,4.88,8.0,0
40.0,12295.95,1,5.69,11.0,0
40.0,7819.46,1,4.77,9.0,0
34.0,10674.92,1,3.09,9.0,0
37.0,10989.43,0,6.62,10.0,0
46.0,7504.79,0,5.98,8.0,0
46.0,9306.05,0,5.35,7.0,0
37.0,11523.63,1,3.56,7.0,0
44.0,9613.84,1,4.38,8.0,0
48.0,13298.38,0,2.99,8.0,0
37.0,8614.75,0,5.03,9.0,0
45.0,9951.97,1,4.4,6.0,0
46.0,11343.33,1,3.69,8.0,0
38.0,10026.44,1,6.85,9.0,0
38.0,8473.65,1,4.78,7.0,0
42.0,12989.06,0,5.0,10.0,0
38.0,12893.47,1,5.69,5.0,0
34.0,7324.32,0,6.69,10.0,0
40.0,8530.23,1,3.66,10.0,0
46.0,10675.86,0,3.33,7.0,0
43.0,10300.24,0,6.44,8.0,0
41.0,10921.54,0,5.07,3.0,0
42.0,10527.52,1,8.42,8.0,0
44.0,8338.05,0,6.57,11.0,0
36.0,9593.71,0,3.98,6.0,0
46.0,11537.69,1,6.37,7.0,0
35.0,12936.64,1,3.73,6.0,0
40.0,8815.24,0,5.63,9.0,0
42.0,12300.94,1,6.89,10.0,0
35.0,11830.36,1,4.41,6.0,0
36.0,14715.53,1,5.73,9.0,0
44.0,9214.98,1,6.44,7.0,0
49.0,8092.13,0,6.32,5.0,0
41.0,12008.34,1,4.94,7.0,0
38.0,11803.58,1,6.97,6.0,0
37.0,13498.28,1,7.06,9.0,0
46.0,9601.95,0,5.9,9.0,0
54.0,13184.51,0,6.04,8.0,0
36.0,4690.57,1,5.41,8.0,0
37.0,11416.56,0,6.06,6.0,0
56.0,9940.54,1,6.57,7.0,0
35.0,13680.25,1,5.79,9.0,0
29.0,5900.78,1,5.56,8.0,0
36.0,10339.05,1,6.88,7.0,0
46.0,11538.57,1,7.93,10.0,0
43.0,7178.92,1,5.32,8.0,0
51.0,8840.51,0,2.7,7.0,0
47.0,14154.26,0,4.73,9.0,0
42.0,10583.76,0,6.51,9.0,0
46.0,11401.63,0,6.13,5.0,0
41.0,7495.6,1,6.57,8.0,0
36.0,8878.96,1,4.66,9.0,0
37.0,11111.59,1,6.0,7.0,0
42.0,8519.64,0,3.99,8.0,0
44.0,12361.42,1,3.7,10.0,0
41.0,9014.9,1,4.45,7.0,0
42.0,6081.5,0,3.73,8.0,0
43.0,10944.65,1,2.62,9.0,0
40.0,11764.35,1,5.54,9.0,0
44.0,12155.91,1,4.11,5.0,0
41.0,11971.75,1,5.38,7.0,0
41.0,14080.95,1,4.61,7.0,0
41.0,6204.86,1,6.08,8.0,0
39.0,4994.48,0,5.02,8.0,0
36.0,11047.43,0,5.98,8.0,0
40.0,12925.64,0,4.04,7.0,0
36.0,8233.25,1,4.35,7.0,0
39.0,9282.33,0,4.52,11.0,0
46.0,13383.25,1,5.27,9.0,0
40.0,8911.91,0,6.99,10.0,0
41.0,8783.13,1,6.2,7.0,0
35.0,12654.35,0,1.66,7.0,0
40.0,6773.23,1,4.29,11.0,0
31.0,9574.89,0,7.34,8.0,0
45.0,9722.92,1,3.35,8.0,0
41.0,9516.87,0,4.94,7.0,0
38.0,6638.87,1,5.61,8.0,0
30.0,10960.52,1,5.96,9.0,0
52.0,11093.87,0,4.38,5.0,0
51.0,10323.07,1,7.03,9.0,0
43.0,15858.91,1,4.51,8.0,0
40.0,11309.18,0,4.91,7.0,0
32.0,12142.99,0,5.01,7.0,0
44.0,10965.95,1,4.11,8.0,0
51.0,10877.81,1,8.35,8.0,0
38.0,7491.55,0,5.66,12.0,0
47.0,9324.49,1,4.91,6.0,0
45.0,9034.21,0,6.89,9.0,0
54.0,11856.28,0,6.19,8.0,0
41.0,9191.02,1,5.89,9.0,0
41.0,10617.16,0,6.26,8.0,0
49.0,11321.2,0,4.89,10.0,0
41.0,15516.52,0,3.53,10.0,0
52.0,5647.92,0,5.08,8.0,0
30.0,8677.28,1,7.31,7.0,0
43.0,15423.03,1,2.41,7.0,0
38.0,8097.01,0,4.32,7.0,0
47.0,9148.74,1,6.38,8.0,0
45.0,12374.97,0,4.66,7.0,0
36.0,8646.72,0,6.33,8.0,0
53.0,10338.09,1,5.07,7.0,0
38.0,13019.89,1,6.65,8.0,0
41.0,13743.42,0,3.92,9.0,0
39.0,8646.2,0,2.94,9.0,0
42.0,6523.74,0,2.71,8.0,0
56.0,8626.48,1,5.07,7.0,0
41.0,5191.08,0,6.29,7.0,0
38.0,7097.52,1,4.68,6.0,0
41.0,13277.82,0,4.84,9.0,0
53.0,3263.0,1,2.77,9.0,0
52.0,14669.61,0,6.28,9.0,0
47.0,13359.2,1,4.55,8.0,0
43.0,12078.39,1,6.06,6.0,0
48.0,8513.75,1,8.24,10.0,0
38.0,9557.2,0,4.47,8.0,0
44.0,6517.22,0,4.55,12.0,0
40.0,4762.81,1,5.12,10.0,0
45.0,6452.83,1,4.41,6.0,0
31.0,8688.21,0,3.58,7.0,0
32.0,12254.75,1,5.32,9.0,0
39.0,5914.3,1,2.3,9.0,0
45.0,11486.53,1,5.5,7.0,0
51.0,6114.85,1,4.7,9.0,0
52.0,11828.78,0,5.95,10.0,0
35.0,10166.67,0,4.65,10.0,0
43.0,12691.45,0,4.45,11.0,0
45.0,9903.78,1,5.31,9.0,0
46.0,10363.63,0,5.84,10.0,0
35.0,8475.8,0,3.37,11.0,0
39.0,13091.92,1,4.74,9.0,0
37.0,13036.52,1,3.83,6.0,0
40.0,9521.35,0,5.8,9.0,0
37.0,5039.46,0,4.08,8.0,0
51.0,13762.79,0,7.52,9.0,0
46.0,8941.92,1,5.43,9.0,0
32.0,12479.72,0,4.67,8.0,0
41.0,9139.73,1,5.15,10.0,0
46.0,10406.58,0,7.24,11.0,0
44.0,11768.65,0,5.54,7.0,0
46.0,14664.0,0,6.54,8.0,0
46.0,8418.81,1,7.19,6.0,0
34.0,6461.86,1,4.61,8.0,0
39.0,14317.2,0,5.03,7.0,0
42.0,4492.44,1,6.43,9.0,0
29.0,13240.01,1,4.58,6.0,0
35.0,7814.68,1,5.99,9.0,0
35.0,11255.38,0,6.28,4.0,0
49.0,13165.68,0,5.49,9.0,0
37.0,12713.9,0,9.15,8.0,0
40.0,11527.08,1,5.04,8.0,0
54.0,8375.73,1,4.42,7.0,0
41.0,11968.78,0,5.08,6.0,0
48.0,7761.2,0,7.02,9.0,0
32.0,6367.22,1,2.84,10.0,0
44.0,7599.36,1,6.41,6.0,0
40.0,7642.2,0,5.04,9.0,0
38.0,11621.67,1,6.11,9.0,0
47.0,9365.92,1,4.37,5.0,0
29.0,12711.15,0,5.74,7.0,0
55.0,8243.28,0,3.54,6.0,0
51.0,10269.97,1,4.85,8.0,0
38.0,13366.66,1,5.64,7.0,0
40.0,12401.58,1,5.75,9.0,0
43.0,8950.33,0,6.76,9.0,0
41.0,10806.13,1,4.0,6.0,0
38.0,7713.12,1,5.41,9.0,0
40.0,12455.75,1,6.64,9.0,0
33.0,7492.9,0,6.71,7.0,0
43.0,12068.39,1,3.59,7.0,0
40.0,7837.67,1,5.66,11.0,0
45.0,9721.59,0,3.43,9.0,0
41.0,10028.23,1,5.52,9.0,0
34.0,10466.56,0,5.34,7.0,0
36.0,12879.7,0,4.7,9.0,0
49.0,13078.28,1,4.06,8.0,0
49.0,11584.59,1,4.84,6.0,0
45.0,9874.69,1,2.41,9.0,0
48.0,11585.16,0,4.61,9.0,0
39.0,10643.67,0,5.54,10.0,0
34.0,12397.49,0,4.93,9.0,0
40.0,10780.71,1,5.33,9.0,0
40.0,8801.13,0,7.52,6.0,0
45.0,7325.93,1,6.0,6.0,0
36.0,7342.14,0,5.51,8.0,0
37.0,12154.25,1,5.15,6.0,0
32.0,9472.72,1,1.0,10.0,0
39.0,3676.68,1,3.52,9.0,0
50.0,6857.29,0,4.69,6.0,0
52.0,10133.36,0,4.6,7.0,0
51.0,4992.6,0,3.85,8.0,0
50.0,12941.12,1,5.51,11.0,0
36.0,11040.16,0,4.52,8.0,0
35.0,8058.73,0,6.88,9.0,0
44.0,10638.65,0,5.54,6.0,0
49.0,10226.43,0,6.02,8.0,0
38.0,12020.62,0,4.41,8.0,0
51.0,12780.22,0,6.06,7.0,0
51.0,6662.59,1,5.27,9.0,0
38.0,10298.29,1,5.07,9.0,0
52.0,9065.28,0,3.99,5.0,0
44.0,8817.22,1,6.53,10.0,0
35.0,11391.46,1,7.59,10.0,0
43.0,12531.39,0,3.97,6.0,0
43.0,9200.69,1,2.6,11.0,0
52.0,13368.21,1,4.09,9.0,0
47.0,15878.11,1,2.05,8.0,0
33.0,7720.61,1,4.97,10.0,0
34.0,9270.9,0,6.19,7.0,0
44.0,8274.32,0,5.7,8.0,0
38.0,9347.47,0,8.47,8.0,0
40.0,12453.72,1,4.83,9.0,0
39.0,8644.07,1,4.48,8.0,0
45.0,11575.84,0,5.51,9.0,0
49.0,8268.74,1,5.21,8.0,0
54.0,12147.83,1,4.17,8.0,0
48.0,8093.03,1,4.26,8.0,0
28.0,9090.43,1,5.74,10.0,0
41.0,9552.57,0,3.81,8.0,0
47.0,9004.44,0,3.79,8.0,0
46.0,14361.38,0,4.52,8.0,0
36.0,8972.54,0,5.23,8.0,0
44.0,11611.28,0,5.8,11.0,0
43.0,9399.92,1,4.98,8.0,0
37.0,7982.38,1,4.29,8.0,0
36.0,6930.95,0,5.19,7.0,0
38.0,11667.01,0,3.8,8.0,0
31.0,5387.75,0,6.83,9.0,0
33.0,10709.39,1,5.22,6.0,0
41.0,11623.42,1,4.18,9.0,0
53.0,9683.85,0,5.89,8.0,0
44.0,8819.13,1,4.38,10.0,0
44.0,7736.13,1,4.48,8.0,0
45.0,7158.66,1,6.25,7.0,0
50.0,9248.87,0,4.56,9.0,0
40.0,11916.26,0,4.51,7.0,0
50.0,9641.61,0,3.09,5.0,0
36.0,12309.23,1,4.76,9.0,0
40.0,11362.95,0,4.37,11.0,0
56.0,10074.4,1,5.17,7.0,0
40.0,10762.29,0,5.02,7.0,0
30.0,8874.83,0,5.56,9.0,0
51.0,5830.99,0,6.93,6.0,0
35.0,8297.87,0,5.42,8.0,0
33.0,5738.82,0,7.66,7.0,0
41.0,11655.82,1,7.92,9.0,0
47.0,7362.18,0,6.57,7.0,0
43.0,10938.11,0,3.21,8.0,0
36.0,8514.8,1,4.01,11.0,0
34.0,8772.26,0,5.78,9.0,0
40.0,7656.02,1,5.62,9.0,0
41.0,10375.39,0,5.54,8.0,0
46.0,7684.02,1,6.24,8.0,0
52.0,6805.48,1,6.05,9.0,0
30.0,6744.87,0,5.14,9.0,0
31.0,10058.87,1,6.54,7.0,0
40.0,9133.36,0,4.21,7.0,0
46.0,11580.56,1,3.43,9.0,0
41.0,10631.84,1,3.47,9.0,0
32.0,10716.75,0,5.12,8.0,0
41.0,10919.81,0,4.63,8.0,0
48.0,10241.32,1,7.25,7.0,0
46.0,9171.56,1,5.02,8.0,0
40.0,7675.52,1,4.31,11.0,0
36.0,13308.01,0,5.07,8.0,0
37.0,7961.21,0,2.91,9.0,0
32.0,12403.6,0,4.99,7.0,0
46.0,10814.59,0,4.91,8.0,0
31.0,8829.83,1,4.52,8.0,0
52.0,7170.66,1,4.53,7.0,0
47.0,10332.16,1,4.89,9.0,0
41.0,14722.35,0,6.98,6.0,0
39.0,13532.85,1,5.63,9.0,0
41.0,7683.97,1,6.17,7.0,0
47.0,6398.91,1,5.0,8.0,0
37.0,14595.51,1,3.83,12.0,0
48.0,6783.99,1,3.89,8.0,0
35.0,8190.27,0,6.28,7.0,0
45.0,9317.12,1,6.93,6.0,0
40.0,10370.72,1,4.35,5.0,0
42.0,12277.9,1,5.1,8.0,0
55.0,10056.55,0,4.98,8.0,0
35.0,12398.62,1,5.6,9.0,0
40.0,10290.14,0,4.6,10.0,0
49.0,9957.26,0,4.76,7.0,0
35.0,13480.91,1,4.41,7.0,0
39.0,11670.73,0,6.45,8.0,0
31.0,7073.61,0,5.73,9.0,0
45.0,9852.25,1,4.55,8.0,0
40.0,6402.3,0,4.28,7.0,0
48.0,9282.99,0,4.32,6.0,0
37.0,8884.39,0,6.16,7.0,0
46.0,13296.89,1,4.81,6.0,0
35.0,7361.92,1,4.97,9.0,0
54.0,8092.55,1,4.55,10.0,0
39.0,9528.99,0,5.97,8.0,0
53.0,8122.34,0,3.51,9.0,0
41.0,14738.09,1,6.5,8.0,0
34.0,11687.29,0,4.54,7.0,0
43.0,7948.18,0,3.88,7.0,0
42.0,7915.44,1,6.17,8.0,0
40.0,10180.59,1,6.5,10.0,0
44.0,8748.36,1,6.32,10.0,0
41.0,8021.05,1,3.16,9.0,0
44.0,10445.76,0,7.02,8.0,0
34.0,9919.38,0,4.43,8.0,0
39.0,10741.9,0,5.48,8.0,0
40.0,7380.48,1,6.45,7.0,0
45.0,9649.26,1,3.77,9.0,0
42.0,9349.99,1,4.38,7.0,0
46.0,12849.1,0,4.97,8.0,0
38.0,10770.82,0,4.99,10.0,0
35.0,8828.59,0,6.77,9.0,0
48.0,9921.89,0,3.73,9.0,0
45.0,6977.56,0,6.94,11.0,0
44.0,8580.85,0,5.52,10.0,0
46.0,10469.5,0,6.54,10.0,0
55.0,8907.17,1,7.6,11.0,0
46.0,10050.61,0,4.99,7.0,0
38.0,10522.6,1,5.46,10.0,0
34.0,9265.59,0,5.77,8.0,0
40.0,10930.16,1,6.63,7.0,0
45.0,10668.91,0,7.21,8.0,0
47.0,11335.97,0,6.84,6.0,0
41.0,12247.91,0,5.08,9.0,0
47.0,9303.43,0,5.5,8.0,0
38.0,9826.29,0,4.93,8.0,0
37.0,10565.59,0,4.76,10.0,0
44.0,9855.18,0,6.94,7.0,0
51.0,7810.06,0,5.99,9.0,0
39.0,11144.51,0,4.25,9.0,0
36.0,8931.09,1,7.55,7.0,0
50.0,8929.88,0,5.63,7.0,0
35.0,9435.2,1,6.23,7.0,0
40.0,11553.65,1,4.43,6.0,0
60.0,9621.04,1,7.65,8.0,0
43.0,11401.42,0,3.63,10.0,0
43.0,10491.4,1,4.23,8.0,0
44.0,10585.86,0,5.54,8.0,0
52.0,10697.72,0,8.35,8.0,0
37.0,11430.75,0,5.99,10.0,0
48.0,8465.53,1,4.98,9.0,0
35.0,7759.15,1,6.06,10.0,0
42.0,13081.64,0,4.66,9.0,0
33.0,4711.89,0,4.97,7.0,0
36.0,12252.57,0,5.13,8.0,0
39.0,13029.61,1,4.83,8.0,0
43.0,10746.69,0,8.62,9.0,0
45.0,8665.79,0,5.09,9.0,0
34.0,5447.16,1,4.13,9.0,0
37.0,9772.95,1,3.81,8.0,0
41.0,7464.08,0,3.74,8.0,0
39.0,6168.66,1,4.71,8.0,0
34.0,12567.53,0,3.36,11.0,0
55.0,8280.03,0,6.33,5.0,0
36.0,11274.98,0,4.12,10.0,0
42.0,9635.87,1,2.43,9.0,0
48.0,13743.12,1,4.83,7.0,0
45.0,8871.53,0,3.76,8.0,0
37.0,8818.03,1,2.89,9.0,0
37.0,9788.78,0,5.24,7.0,0
34.0,6131.92,0,4.17,9.0,0
40.0,12043.27,1,5.04,7.0,0
40.0,12919.92,0,4.23,11.0,0
38.0,10367.14,0,5.92,9.0,0
44.0,9063.16,1,4.76,8.0,0
40.0,10606.97,1,4.11,10.0,0
42.0,8558.52,0,5.36,7.0,0
43.0,11375.25,1,5.09,9.0,0
48.0,8514.24,0,4.61,9.0,0
39.0,12019.93,0,4.87,10.0,0
38.0,9419.66,1,5.24,9.0,0
33.0,10309.71,1,2.96,7.0,0
47.0,10313.06,0,5.44,8.0,0
34.0,13460.92,1,3.67,7.0,0
54.0,10216.59,0,2.77,7.0,0
37.0,12766.24,0,3.72,9.0,0
38.0,11360.99,0,4.5,7.0,0
47.0,9166.22,0,3.51,9.0,0
41.0,8996.04,1,6.19,9.0,0
55.0,9743.57,0,5.89,8.0,0
43.0,7686.13,1,7.17,8.0,0
29.0,13255.05,1,4.89,8.0,0
48.0,8403.02,0,3.61,11.0,0
43.0,7277.27,1,5.98,8.0,0
32.0,8575.71,0,4.26,9.0,0
46.0,9844.79,0,3.57,11.0,0
42.0,7529.23,1,5.86,7.0,0
46.0,4111.4,0,3.93,8.0,0
45.0,8389.84,1,6.81,5.0,0
40.0,7864.63,0,4.56,9.0,0
39.0,8677.62,0,5.2,7.0,0
25.0,9672.03,0,5.49,8.0,0
33.0,11370.28,1,4.4,6.0,0
44.0,13915.9,0,4.61,9.0,0
35.0,10999.05,0,4.76,10.0,0
39.0,7636.98,0,5.56,9.0,0
38.0,9461.83,0,4.9,10.0,0
38.0,100.0,0,5.27,5.0,0
53.0,9655.25,0,4.44,10.0,0
45.0,15188.65,0,6.17,8.0,0
49.0,14124.0,1,3.02,10.0,0
